geo,year,FE,FE_elec,elec_share,wb,GDP,POP,ypc
AL,2010,0.079462039,0.020422799999999998,0.2570132890750513,ALB,34458280649.1101,2913021.0,11829.053291792301
AL,2011,0.081787788,0.0203652,0.24900049870525903,ALB,35307166195.385,2905195.0,12153.114057880797
AL,2012,0.074969801,0.020735999999999997,0.2765913704372778,ALB,35654634567.7671,2860708.0,12463.570056002603
AL,2013,0.082139596,0.0248184,0.3021490390578498,ALB,36263340585.6236,2816902.0,12873.483204464903
AL,2014,0.086188375,0.023482799999999998,0.2724590178199786,ALB,37075721715.7806,2773767.0,13366.55952564891
AL,2015,0.082165859,0.0212292,0.25837008531730926,ALB,37901659079.1223,2731293.0,13876.819176530053
AL,2016,0.079530694,0.019796400000000002,0.24891521756367424,ALB,39383210491.1182,2689469.0,14643.48928770631
AL,2017,0.087040569,0.021443274000000002,0.24635953379394845,ALB,40676230579.7237,2648285.0,15359.461153057055
AL,2018,0.08935518099999999,0.021905617999999998,0.2451521865307396,ALB,42169625552.0073,2607733.0,16170.990493277994
AL,2019,0.08595652499999999,0.022258526,0.2589509755076767,ALB,43039406929.8984,2567801.0,16761.19252617255
AL,2020,0.07706508299999999,0.022738536,0.2950562708146308,ALB,41613185841.6268,2528480.0,16457.78722458821
AL,2021,0.084259527,0.023996479999999997,0.28479248405939894,ALB,45345712251.0862,2489762.0,18212.870246668637
AL,2022,0.08201299499999999,0.02371495,0.289160882369922,ALB,47534459372.723,2451636.0,19388.873133174337
AL,2023,0.078858383,0.023380114,0.2964822902848515,ALB,49443166215.7366,2411658.0,20501.73209291558
BA,2010,,,,BIH,46282369285.467,3811472.0,12142.912052211586
BA,2011,,,,BIH,46726454038.3001,3741798.0,12487.700842830132
BA,2012,,,,BIH,46342438632.0247,3670113.0,12626.978687583924
BA,2013,,,,BIH,47431420472.7132,3610859.0,13135.771979108906
BA,2014,0.129942548,0.03811319999999999,0.29330808566259603,BIH,47978706937.7683,3564829.0,13458.908390211229
BA,2015,0.13887225399999997,0.03843,0.27672914418167366,BIH,50034177192.7287,3518541.0,14220.148974455236
BA,2016,0.148377408,0.0399168,0.26902208724390175,BIH,51656414416.7279,3473003.0,14873.702791713078
BA,2017,0.146451443,0.0410328,0.28018023694037625,BIH,53332199616.0123,3428682.0,15554.723248178834
BA,2018,0.176345108,0.041241599999999996,0.23386869342584765,BIH,55374291669.1259,3387000.0,16349.067513766135
BA,2019,0.176167475,0.0395748,0.22464305627358286,BIH,56972312005.7822,3345533.0,17029.367818455896
BA,2020,0.168497309,0.0357696,0.2122858828564437,BIH,55254543612.5314,3299349.0,16747.10484175254
BA,2021,0.18025513699999998,0.038987999999999995,0.21629341969876842,BIH,59338761977.1417,3244907.0,18286.7373324233
BA,2022,0.179614212,0.0382248,0.2128161216997684,BIH,61846900680.5647,3204802.0,19298.19710564481
BA,2023,0.173341102,0.0371484,0.2143080871840771,BIH,63080371648.772,3185073.0,19805.000277473075
ME,2010,0.02991997,0.0115596,0.38635065476335706,MNE,12064130487.8,619428.0,19476.2433855105
ME,2011,0.030114819999999997,0.0122904,0.40811799638848917,MNE,12475491776.5541,620345.0,20110.57037060684
ME,2012,0.02926449,0.011592,0.3961114647820618,MNE,12165185272.9549,621418.0,19576.493234754867
ME,2013,0.026837,0.0097416,0.3629913924805306,MNE,12577113711.8288,622587.0,20201.375409105556
ME,2014,0.02631716,0.009396,0.35702940590854026,MNE,12875230160.6031,623744.0,20641.85011896403
ME,2015,0.02774357,0.0096444,0.3476264950761564,MNE,13200080372.6944,624651.0,21131.928665277734
ME,2016,0.02883705,0.0096156,0.3334460355688255,MNE,13654071478.9422,625353.0,21834.18242007666
ME,2017,0.030517109,0.010277999999999999,0.33679468130483786,MNE,14093279954.5615,625982.0,22513.874128268068
ME,2018,0.030548269,0.01024776,0.3354612334990241,MNE,14760303780.0526,626438.0,23562.27396813827
ME,2019,0.031845862,0.01099512,0.34526055535880923,MNE,15408859079.0445,626753.0,24585.21790728485
ME,2020,0.029175305999999998,0.01018116,0.34896497743674054,MNE,13098667590.9404,626590.0,20904.686622736397
ME,2021,0.03333925099999999,0.010719719999999999,0.32153451797702354,MNE,14807553918.6656,625053.0,23690.07735130557
ME,2022,0.031510253,0.009375479999999999,0.29753743963909135,MNE,15953591498.2272,623591.0,25583.421662960496
ME,2023,0.031897891,0.00978804,0.30685539680350654,MNE,16987123040.7257,623529.0,27243.517207260127
MK,2010,0.07494060799999999,0.0244224,0.3258900701739703,MKD,32563822404.1024,1946298.0,16731.15956760085
MK,2011,0.07968361599999998,0.0265608,0.3333282465494538,MKD,33325778740.3208,1937398.0,17201.30749609569
MK,2012,0.077275493,0.025217999999999997,0.3263389079898849,MKD,33173752128.5707,1929821.0,17190.066917382857
MK,2013,0.07598214999999998,0.024483599999999998,0.32222831283400116,MKD,34144169855.3156,1922716.0,17758.30120273384
MK,2014,0.075256915,0.0242244,0.3218893572770024,MKD,35383303951.7728,1917557.0,18452.282749233946
MK,2015,0.07693619199999999,0.023885999999999998,0.3104650669479457,MKD,36747636434.3772,1912430.0,19215.15372294787
MK,2016,0.077363682,0.02229547,0.2881903940404491,MKD,37794284523.8385,1906313.0,19825.85468589812
MK,2017,0.077834775,0.021966541,0.282220138749036,MKD,38203132790.3896,1898657.0,20121.134459983874
MK,2018,0.07673567999999999,0.021979659999999998,0.28643337753702064,MKD,39303610976.53,1889051.0,20806.008401324263
MK,2019,0.081135109,0.022466416,0.276901285730694,MKD,40840547059.4536,1876262.0,21766.974473423008
MK,2020,0.07594103299999999,0.022410208999999997,0.29510013381039996,MKD,38925758426.9376,1856124.0,20971.529071838733
MK,2021,0.08242620699999999,0.023631997999999998,0.28670490685080297,MKD,40681574628.7772,1837114.0,22144.284257143107
MK,2022,0.075558433,0.021233857999999998,0.28102565335096347,MKD,41803932144.5355,1831712.0,22822.32804312878
MK,2023,0.075730464,0.020162167,0.26623588362009776,MKD,42872008085.3846,1827816.0,23455.319400522043
RS,2010,0.36686971799999996,0.0999756,0.2725098177767837,SRB,130090193661.205,7291436.0,17841.505248239853
RS,2011,0.380249873,0.1015308,0.26701074006670344,SRB,130160796840.3,7236519.0,17986.658618639707
RS,2012,0.352205887,0.098424,0.2794501842043316,SRB,129582940080.688,7201497.0,17993.889337270848
RS,2013,0.343387998,0.09747,0.28384801031980156,SRB,130168109173.416,7166553.0,18163.280055755677
RS,2014,0.32161915399999996,0.09441,0.2935459496917898,SRB,127819524487.478,7131787.0,17922.510092839002
RS,2015,0.330166438,0.09788039999999999,0.2964577520141523,SRB,129475731449.586,7095383.0,18247.884779382028
RS,2016,0.34358280099999994,0.09936719999999999,0.289208888543871,SRB,133327890914.874,7058322.0,18889.459975738424
RS,2017,0.350152069,0.10124668399999999,0.28915060901724954,SRB,136478966455.327,7020858.0,19439.072326391874
RS,2018,0.35315804599999995,0.10097514399999999,0.2859205535416288,SRB,142824351766.595,6982604.0,20454.310707952936
