country_code,scenario,year,value,unit,source
ALB,SSP1,2023,44.7437,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2024,46.7854,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2025,48.8271,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2026,50.67458,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2027,52.52206,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2028,54.36954,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2029,56.21702,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2030,58.0645,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2031,60.13564,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2032,62.20678,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2033,64.27792,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2034,66.34906,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2035,68.4202,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2036,70.59138,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2037,72.76256,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2038,74.93374,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2039,77.10492,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2040,79.2761,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2041,81.2842,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2042,83.2923,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2043,85.3004,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2044,87.3085,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2045,89.3166,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2046,90.88546,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2047,92.45432,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2048,94.02318,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2049,95.59204,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2050,97.1609,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2051,98.27221,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2052,99.38352,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2053,100.49483,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2054,101.60614,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2055,102.71745,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2056,103.82876,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2057,104.94007,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2058,106.05138,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2059,107.16269,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2060,108.274,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2061,109.2212,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2062,110.1684,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2063,111.1156,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2064,112.0628,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2065,113.01,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2066,113.9572,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2067,114.9044,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2068,115.8516,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2069,116.7988,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2070,117.746,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2071,118.4484,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2072,119.1508,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2073,119.8532,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2074,120.5556,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2075,121.258,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2076,121.9604,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2077,122.6628,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2078,123.3652,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2079,124.0676,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2080,124.77,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2081,125.1562,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2082,125.5424,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2083,125.9286,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2084,126.3148,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2085,126.701,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2086,127.0872,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2087,127.4734,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2088,127.8596,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2089,128.2458,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2090,128.632,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2091,128.7504,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2092,128.8688,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
ALB,SSP1,2093,128.9872,billion USD_2017 PPP,IIASA GDP 2023 Scenario Explorer
