region,model,model_family,scenario,variable,year,value,unit,source
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2010,53.9456,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2015,50.2053,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2020,50.2014,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2025,50.6237,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2030,50.4387,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2035,50.0127,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2040,48.5175,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2045,47.3939,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2050,47.1317,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2055,46.9773,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2060,46.4916,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2070,45.9015,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2080,46.5826,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2090,46.3404,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy,2100,47.3575,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Efficiency,Final Energy,2010,53.9456,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Efficiency,Final Energy,2015,50.2053,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
