year,central,band_min,band_max,n_families
2010,55.357165380859385,45.66131806001081,57.685238422,4
2015,52.59522412109375,43.00109999372032,54.973986047,4
2020,51.2373578125,42.65136683597549,57.456915799,4
2025,53.36304033203125,45.0850256640796,58.531999339,4
2030,54.09375844726563,47.56004229982104,58.754601431,4
2035,54.387552539062504,49.98404233729456,60.475736495,4
2040,54.69300302734376,51.70838514764993,61.461408909,4
2045,55.66692427870051,52.2324580078125,62.939924705,4
2050,57.3639779435966,51.27461181640625,64.496416315,4
2055,58.83426983516543,52.3629130859375,66.22295558100001,4
2060,60.257438018985226,48.73655566406251,68.110361648,4
2065,60.38499422975102,51.76160595703125,69.95258741500001,3
2070,62.71470460281945,47.02556298828125,71.71086101400002,4
2075,63.48338124110657,51.65016796875,73.590189696,3
2080,65.72299687478701,46.60113916015625,75.514702959,4
2085,65.81844496894607,51.34673486328126,77.45894528000001,3
2090,66.99662084151515,45.9824541015625,79.234963945,4
2095,68.06738939043802,50.481076171875,81.05133021,3
2100,68.5691430342161,43.8969462890625,83.09279966,4
