model_family,year,family_median
GCAM,2010,57.685238422
GCAM,2015,54.973986047
GCAM,2020,57.456915799
GCAM,2025,58.531999339
GCAM,2030,58.754601431
GCAM,2035,60.475736495
GCAM,2040,61.461408909
GCAM,2045,62.939924705
GCAM,2050,64.496416315
GCAM,2055,66.22295558100001
GCAM,2060,68.110361648
GCAM,2065,69.95258741500001
GCAM,2070,71.71086101400002
GCAM,2075,73.590189696
GCAM,2080,75.514702959
GCAM,2085,77.45894528000001
GCAM,2090,79.234963945
GCAM,2095,81.05133021
GCAM,2100,83.09279966
IMAGE,2010,55.17153076171876
IMAGE,2015,53.8129482421875
IMAGE,2020,51.634515625
IMAGE,2025,54.0591806640625
IMAGE,2030,53.85131689453125
IMAGE,2035,53.51170507812501
IMAGE,2040,52.96670605468751
IMAGE,2045,52.2324580078125
IMAGE,2050,51.27461181640625
IMAGE,2055,52.3629130859375
IMAGE,2060,48.73655566406251
IMAGE,2065,51.76160595703125
IMAGE,2070,47.02556298828125
IMAGE,2075,51.65016796875
IMAGE,2080,46.60113916015625
IMAGE,2085,51.34673486328126
IMAGE,2090,45.9824541015625
IMAGE,2095,50.481076171875
IMAGE,2100,43.8969462890625
REMIND,2010,55.5428
REMIND,2015,51.3775
REMIND,2020,50.8402
REMIND,2025,52.6669
REMIND,2030,54.3362
REMIND,2035,55.2634
REMIND,2040,56.4193
REMIND,2045,57.8319
REMIND,2050,59.323
REMIND,2055,60.7132
REMIND,2060,61.832
REMIND,2070,63.4542
REMIND,2080,66.6505
REMIND,2090,67.0707
REMIND,2100,68.301
WITCH,2010,45.66131806001081
WITCH,2015,43.00109999372032
WITCH,2020,42.65136683597549
WITCH,2025,45.0850256640796
WITCH,2030,47.56004229982104
WITCH,2035,49.98404233729456
WITCH,2040,51.70838514764993
WITCH,2045,53.50194855740103
WITCH,2050,55.4049558871932
WITCH,2055,56.95533967033086
WITCH,2060,58.68287603797046
WITCH,2065,60.38499422975102
WITCH,2070,61.97520920563891
WITCH,2075,63.48338124110657
WITCH,2080,64.79549374957402
WITCH,2085,65.81844496894607
WITCH,2090,66.92254168303029
WITCH,2095,68.06738939043802
WITCH,2100,68.83728606843219
