region,model,model_family,scenario,variable,year,value,unit,source
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2010,20.7399,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2015,18.7203,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2020,19.3961,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2025,19.5892,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2030,19.3363,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2035,19.3739,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2040,19.1337,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2045,19.0476,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2050,18.9404,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2055,18.6054,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2060,18.354,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2070,17.605,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2080,17.115,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2090,16.8976,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Final Energy|Residential and Commercial,2100,16.9772,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Efficiency,Final Energy|Residential and Commercial,2010,20.7399,EJ/yr,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
