year,central,band_min,band_max,n_families
2010,20.6762379486084,17.97097695366667,21.56139982,4
2015,18.666035395,16.99215252,20.86218466186524,4
2020,19.256694772338864,16.91794929024391,20.75477314,4
2025,20.60117681274414,18.59922563667079,21.56803925,4
2030,21.220340185546874,20.14051502107978,22.460632234,4
2035,22.096232653268103,20.93696374511718,23.151657385,4
2040,22.988240739487942,20.70893133544922,23.698149423,4
2045,23.56270688393382,20.31419677734376,24.268764654,4
2050,24.415852493007286,19.72477264404297,24.698943208,4
2055,24.93676609,20.47667572021484,25.74810848530223,4
2060,25.254897446,18.668681640625,26.84570427821581,4
2065,25.591389683,19.55294598388672,27.84531706589479,3
2070,25.689716998999998,17.55223327636719,28.75950826293741,4
2075,25.836996036,18.97834240722656,29.59393283896421,3
2080,26.6067620025,16.43191955566406,30.27003335711164,4
2085,25.824425019,18.34937512207032,30.76568425953423,3
2090,27.372278977,15.39951306152344,31.2512497861073,4
2095,25.351383172,17.63591314697265,31.87108269404458,3
2100,27.790956366,14.38943133544922,32.42398490511259,4
