model_family,year,family_median
GCAM,2010,21.56139982
GCAM,2015,19.42017079
GCAM,2020,20.75477314
GCAM,2025,21.56803925
GCAM,2030,22.460632234
GCAM,2035,23.151657385
GCAM,2040,23.698149423
GCAM,2045,24.268764654
GCAM,2050,24.698943208
GCAM,2055,25.06343218
GCAM,2060,25.394294892
GCAM,2065,25.591389683
GCAM,2070,25.722233998
GCAM,2075,25.836996036
GCAM,2080,25.878624005
GCAM,2085,25.824425019
GCAM,2090,25.618857954
GCAM,2095,25.351383172
GCAM,2100,25.118612732
IMAGE,2010,20.8890758972168
IMAGE,2015,20.86218466186524
IMAGE,2020,20.13318954467773
IMAGE,2025,21.30415362548828
IMAGE,2030,21.19338037109375
IMAGE,2035,20.93696374511718
IMAGE,2040,20.70893133544922
IMAGE,2045,20.31419677734376
IMAGE,2050,19.72477264404297
IMAGE,2055,20.47667572021484
IMAGE,2060,18.668681640625
IMAGE,2065,19.55294598388672
IMAGE,2070,17.55223327636719
IMAGE,2075,18.97834240722656
IMAGE,2080,16.43191955566406
IMAGE,2085,18.34937512207032
IMAGE,2090,15.39951306152344
IMAGE,2095,17.63591314697265
IMAGE,2100,14.38943133544922
REMIND,2010,20.4634
REMIND,2015,17.9119
REMIND,2020,18.3802
REMIND,2025,19.8982
REMIND,2030,21.2473
REMIND,2035,22.804
REMIND,2040,23.4144
REMIND,2045,23.483
REMIND,2050,24.1372
REMIND,2055,24.8101
REMIND,2060,25.1155
REMIND,2070,25.6572
REMIND,2080,27.3349
REMIND,2090,29.1257
REMIND,2100,30.4633
WITCH,2010,17.97097695366667
WITCH,2015,16.99215252
WITCH,2020,16.91794929024391
WITCH,2025,18.59922563667079
WITCH,2030,20.14051502107978
WITCH,2035,21.38846530653621
WITCH,2040,22.56208147897588
WITCH,2045,23.64241376786764
WITCH,2050,24.69450498601457
WITCH,2055,25.74810848530223
WITCH,2060,26.84570427821581
WITCH,2065,27.84531706589479
WITCH,2070,28.75950826293741
WITCH,2075,29.59393283896421
WITCH,2080,30.27003335711164
WITCH,2085,30.76568425953423
WITCH,2090,31.2512497861073
WITCH,2095,31.87108269404458
WITCH,2100,32.42398490511259
