region,model,model_family,scenario,variable,year,value,unit,source
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Price|Secondary Energy|Electricity,2010,12.5269,USD_2010/GJ,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Price|Secondary Energy|Electricity,2015,16.6697,USD_2010/GJ,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Price|Secondary Energy|Electricity,2020,16.0659,USD_2010/GJ,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Price|Secondary Energy|Electricity,2025,16.7688,USD_2010/GJ,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Price|Secondary Energy|Electricity,2030,19.6908,USD_2010/GJ,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Price|Secondary Energy|Electricity,2035,20.508,USD_2010/GJ,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Price|Secondary Energy|Electricity,2040,21.2736,USD_2010/GJ,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Price|Secondary Energy|Electricity,2045,20.812,USD_2010/GJ,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Price|Secondary Energy|Electricity,2050,19.402,USD_2010/GJ,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Price|Secondary Energy|Electricity,2055,18.832,USD_2010/GJ,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
Europe (R10),REMIND-Buildings 2.0,REMIND,BEG-Baseline,Price|Secondary Energy|Electricity,2060,19.4197,USD_2010/GJ,IIASA Scenario Compass SCI 2025 v1.0; Europe (R10); all
