year,central,band_min,band_max,n_families
2010,18.871700638675037,10.6915,29.32654644641792,4
2015,19.94372024013773,15.61121326067522,31.95153649707968,4
2020,19.351595646679904,15.93097740543323,31.69436469056766,4
2025,19.343837775168502,16.3506,32.47956285508676,4
2030,20.12614885039217,17.17410469579078,32.41495433907739,4
2035,21.25975230916913,17.35765333326846,31.25795106238106,4
2040,21.287641238035143,17.76344271297165,29.9142063131662,4
2045,21.736235209420478,17.24301533685807,28.48995677193503,4
2050,21.1388679216797,16.67383531422005,27.68422965671544,4
2055,20.792787516520484,15.84622900918302,30.57864488949532,4
2060,20.685388200281714,15.25189732254745,28.45013803688738,4
2065,23.09369141241888,14.8171209535358,31.57350696220165,3
2070,20.950417465733878,14.42236569576659,29.07514591594022,4
2075,23.13497942162826,14.09631598061355,30.90364735564565,3
2080,20.772674238594366,13.89520162767088,29.36231638378242,4
2085,23.13562478262136,13.94845657576735,30.882719967963,3
2090,19.8140519824189,13.85654099996148,30.09223782129924,4
2095,23.32158030476744,13.70998851979667,31.49534494336002,3
2100,19.515170359590037,13.60049916373659,30.58185060431569,4
