model_family,year,family_median
GCAM,2010,23.56196667191402
GCAM,2015,23.21774048027546
GCAM,2020,22.36839129335981
GCAM,2025,21.96518006564796
GCAM,2030,21.34149770078434
GCAM,2035,22.01150461833826
GCAM,2040,22.38628247607029
GCAM,2045,22.68937041884096
GCAM,2050,22.8757358433594
GCAM,2055,22.94517503304097
GCAM,2060,22.92417640056343
GCAM,2065,23.09369141241888
GCAM,2070,23.15423493146775
GCAM,2075,23.13497942162826
GCAM,2080,23.10644847718873
GCAM,2085,23.13562478262136
GCAM,2090,23.2332039648378
GCAM,2095,23.32158030476744
GCAM,2100,23.33854071918007
IMAGE,2010,29.32654644641792
IMAGE,2015,31.95153649707968
IMAGE,2020,31.69436469056766
IMAGE,2025,32.47956285508676
IMAGE,2030,32.41495433907739
IMAGE,2035,31.25795106238106
IMAGE,2040,29.9142063131662
IMAGE,2045,28.48995677193503
IMAGE,2050,27.68422965671544
IMAGE,2055,30.57864488949532
IMAGE,2060,28.45013803688738
IMAGE,2065,31.57350696220165
IMAGE,2070,29.07514591594022
IMAGE,2075,30.90364735564565
IMAGE,2080,29.36231638378242
IMAGE,2085,30.882719967963
IMAGE,2090,30.09223782129924
IMAGE,2095,31.49534494336002
IMAGE,2100,30.58185060431569
REMIND,2010,10.6915
REMIND,2015,16.6697
REMIND,2020,16.3348
REMIND,2025,16.3506
REMIND,2030,18.9108
REMIND,2035,20.508
REMIND,2040,20.189
REMIND,2045,20.7831
REMIND,2050,19.402
REMIND,2055,18.6404
REMIND,2060,18.4466
REMIND,2070,18.7466
REMIND,2080,18.4389
REMIND,2090,16.3949
REMIND,2100,15.6918
WITCH,2010,14.18143460543605
WITCH,2015,15.61121326067522
WITCH,2020,15.93097740543323
WITCH,2025,16.72249548468905
WITCH,2030,17.17410469579078
WITCH,2035,17.35765333326846
WITCH,2040,17.76344271297165
WITCH,2045,17.24301533685807
WITCH,2050,16.67383531422005
WITCH,2055,15.84622900918302
WITCH,2060,15.25189732254745
WITCH,2065,14.8171209535358
WITCH,2070,14.42236569576659
WITCH,2075,14.09631598061355
WITCH,2080,13.89520162767088
WITCH,2085,13.94845657576735
WITCH,2090,13.85654099996148
WITCH,2095,13.70998851979667
WITCH,2100,13.60049916373659
