country_code,scenario,year,value,unit,source
ALB,SSP1,2023,2.824311,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2024,2.808371,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2025,2.792432,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2026,2.776861,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2027,2.76129,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2028,2.745719,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2029,2.730148,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2030,2.714577,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2031,2.694852,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2032,2.675126,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2033,2.655401,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2034,2.635675,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2035,2.61595,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2036,2.593827,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2037,2.571704,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2038,2.549581,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2039,2.527458,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2040,2.505335,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2041,2.482379,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2042,2.459423,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2043,2.436468,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2044,2.413512,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2045,2.390556,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2046,2.36732,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2047,2.344084,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2048,2.320849,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2049,2.297613,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2050,2.274377,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2051,2.251049,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2052,2.22772,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2053,2.204391,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2054,2.181063,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2055,2.157735,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2056,2.134406,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2057,2.111077,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2058,2.087749,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2059,2.06442,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2060,2.041092,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2061,2.020526,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2062,1.99996,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2063,1.979394,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2064,1.958828,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2065,1.938262,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2066,1.917697,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2067,1.897131,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2068,1.876565,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2069,1.855999,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2070,1.835433,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2071,1.818383,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2072,1.801332,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2073,1.784282,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2074,1.767231,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2075,1.75018,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2076,1.73313,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2077,1.716079,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2078,1.699029,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2079,1.681979,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2080,1.664928,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2081,1.649161,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2082,1.633394,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2083,1.617627,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2084,1.60186,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2085,1.586093,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2086,1.570326,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2087,1.554559,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2088,1.538792,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2089,1.523025,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2090,1.507258,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2091,1.491704,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2092,1.476149,million,IIASA POPULATION 2023 Scenario Explorer
ALB,SSP1,2093,1.460595,million,IIASA POPULATION 2023 Scenario Explorer
